AFGHANISTAN;33.7680065;66.2385139;..;..;..;..;..;..;..;..;..;..;..;..;..;..
ALBANIA;41.000028;19.9999619;..;..;..;1.303;1.694;2.616;3.716;3.443;3.959;4.146;4.852;5.415;2.907;5.882
ALGERIA;28.0000272;2.9999825;874;879;1.006;1.257;1.417;1.349;1.539;1.757;1.911;2.839;4.530;5.610;1.386;2.865
AMERICAN SAMOA;-14.297124;-170.7131481;..;..;..;..;..;..;..;..;..;..;..;..;..;..
ANDORRA;42.5407167;1.5732033;..;..;..;..;..;..;..;..;..;..;..;..;..;..
ANGOLA;-11.8775768;17.5691241;3;..;..;..;..;..;..;..;..;..;..;..;..;..
ANGUILLA;18.1954947;-63.0750234;..;..;..;..;..;..;..;..;..;..;..;..;..;..
ANTIGUA AND BARBUDA;17.2234721;-61.9554608;..;..;..;..;..;..;..;..;..;..;..;..;..;..
ARGENTINA;-34.9964963;-64.9672817;4.436;4.533;5.425;6.083;8.295;10.022;18.645;18.411;4.087;7.891
ARMENIA;40.7696272;44.6736646;..;..;111;131;221;329;516;563;965;1.198;1.263;1.623;346;1.139
ARUBA;12.51756625;-69.98186415210564;;;;;;;;;;;;;;
AUSTRALIA;-24.7761086;134.755;2.732;3.161;3.498;3.461;4.369;4.941;5.808;7.103;8.212;9.480;10.390;11.403;2.832;5.226
AUSTRIA;47.59397;14.12456;..;..;7.528;8.266;8.371;10.042;9.677;9.882;10.960;10.994;11.534;11.043;3.964;11.871
AZERBAIJAN;40.3936294;47.7872508;432;1.146;1.326;1.141;1.473;1.836;2.162;3.176;3.874;4.244;4.282;4.908;1.165;1.490
BAHAMAS;24.7736546;-78.0000547;;;;;;;;;;;;;;
BAHRAIN;26.0667;50.5577;..;..;..;..;..;..;3.293;2.868;752;..
BANGLADESH;24.4769288;90.2934413;911;992;1.128;1.158;1.565;1.819;875;1.913;2.273;..;..;..;..;..
BARBADOS;13.1500331;-59.5250305;;;;;;;;;;;;;;
BELARUS;53.4250605;27.6971358;4.747;6.160;6.924;6.811;6.323;7.464;8.427;7.246;8.340;9.326;2.810;3.869
BELGIUM;50.6402809;4.6667145;5.645;7.776;7.932;6.773;8.783;7.852;8.887;8.801;9.576;10.991;13.372;15.627;7.108;16.005
BELIZE;17.1204943;-88.6859028;;;;;;;;;;;;;;
BENIN;9.5293472;2.2584408;;;;;;;;;;;;;;
BERMUDA;32.3040273;-64.7563086;..;..;..;145;156;170;192;..;..;..;..;..;..;..
BHUTAN;27.549511;90.5119273;269;299;201;217;346;472;544;604;788;932;940;1.060;432;821
BONAIRE;12.1684798;-68.24703234151355;;;;;;;;;;;;;;
BOSNIA AND HERZEGOVINA;44.3053476;17.5961467;;;;;;;;;;;;;;
BOTSWANA;-23.1681782;24.5928742;;;;;;;;;;;;;;
BRAZIL;-10.3333333;-53.2;3.797;4.171;3.228;2.338;2.968;3.886;5.238;6.457;8.497;9.617;8.872;10.628;..;..
BRITISH VIRGIN ISLANDS;18.4024395;-64.5661642;..;..;..;..;..;171;166;151;139;..;..;..;..;..
BRUNEI DARUSSALAM;4.4137155;114.5653908;;;;;;;;;;;;;;
BULGARIA;42.6073975;25.4856617;3.006;2.592;2.337;3.188;3.882;4.180;5.727;3.676;3.758;4.158;5.392;6.699;3.973;7.252
BURKINA FASO;12.0753083;-1.6880314;;;;;;;;;;;;;;
BURUNDI;-3.426449;29.9324519;35;16;28;..;..;..;..;..;..;..;..;..;..;..
CABO VERDE;16.0000552;-24.0083947;;;;;;;;;;;;;;
CAMBODIA;12.5433216;104.8144914;38;41;41;45;239;787;786;505;792;956;1.434;1.995;326;970
CAMEROON;4.6125522;13.1535811;;;;;;;;;;;;;;
CANADA;61.0666922;-107.991707;56.371;46.985;47.182;39.239;41.786;46.912;51.737;55.639;65.179;63.737;52.979;56.340;14.605;31.936
CAYMAN ISLANDS;19.703182249999998;-79.9174627243246;;;;;;;;;;;;;;
CENTRAL AFRICAN REPUBLIC;7.0323598;19.9981227;..;..;..;5;7;11;..;38;..;..;..;..;..;..
CHAD;15.4542;18.7322;..;..;27;23;..;..;58;39;79;..;56;..;6;..
CHILE;-31.7613365;-71.3187697;..;..;1.528;1.444;1.727;2.264;2.317;2.737;3.448;3.842;4.269;4.605;1.162;2.366
CHINA;35.0000663;104.999955;5.061;8.426;10.473;16.602;28.853;34.524;45.844;57.386;83.182;116.593;135.130;149.720;20.334;..
COLOMBIA;4.099917;-72.9088133;929;1.093;1.235;1.277;1.405;..;2.042;2.342;3.169;3.911;3.795;4.368;1.275;4.931
COMOROS;-12.2045176;44.2832964;;;;;;;;;;;;;;
CONGO;-0.7264327;15.6419155;..;50;..;..;..;..;..;..;161;..;424;..;..;..
COOK ISLANDS;-19.99697155;-157.78587140620786;7;8;9;9;12;13;13;12;12;12;14;14;4;9
COSTA RICA;10.2735633;-84.0739102;283;330;381;364;425;485;528;662;773;798;1.036;1.079;324;934
COTE D´IVOIRE;7.9897371;-5.5679458;..;..;..;..;..;..;..;..;..;..;..;..;..;731
CROATIA;45.3658443;15.6575209;..;..;..;..;..;..;4.393;..;5.159;4.638;2.581;2.980;678;2.004
CUBA;23.0131338;-80.8328748;72;94;139;111;124;199;202;251;213;355;385;552;271;732
CURAÇAO;12.21351355;-69.04089204044595;;;;;;;;;;;;;;
CYPRUS;34.9174159;32.889902651331866;365;484;588;744;859;932;1.210;1.246;1.194;1.209;1.268;1.446;482;..
CZECH REPUBLIC (CZECHIA);49.58247095;17.289683404352353;..;..;..;..;..;..;12.713;11.891;..;..;..;..;..;..
DENMARK;55.670249;10.3333283;5.035;4.788;5.011;4.935;4.630;6.129;6.347;7.726;7.843;8.528;9.651;7.475;4.230;6.043
DJIBOUTI;11.8145966;42.8453061;;;;;;;;;;;;;;
DOMINICA;15.4113138;-61.3653618;;;;;;;;;;;;;;
DOMINICAN REPUBLIC;19.0974031;-70.3028026;358;354;360;332;368;420;413;401;418;427;500;514;210;780
ECUADOR;-1.3397668;-79.3666965;275;330;520;627;603;733;815;899;1.022;1.096;1.366;1.402;508;1.338
EGYPT;26.2540493;29.2675469;2.812;2.854;2.964;3.330;5.210;4.531;..;4.618;5.678;6.180;..;..;..;..
EL SALVADOR;13.8000382;-88.9140683;492;868;923;1.001;1.079;1.242;..;1.421;1.462;1.515;1.804;1.788;515;1.862
EQUATORIAL GUINEA;1.613172;10.5170357;;;;;;;;;;;;;;
ERITREA;15.9500319;37.9999668;;;;;;;;;;;;;;
ESTONIA;58.7523778;25.3319078;1.547;1.659;1.800;1.849;..;438;692;955;1.147;1.426;1.339;2.069;558;1.090
ESWATINI;-26.5624806;31.3991317;..;..;..;..;..;1.072;1.177;1.141;1.403;1.657;1.789;1.717;488;711
ETHIOPIA;10.2116702;38.6521203;133;..;..;..;..;..;..;..;..;..;..;..;..;..
FIJI;-18.1239696;179.0122737;72;78;83;99;94;121;124;128;132;..;156;174;40;109
FINLAND;63.2467777;25.9209164;4.918;4.743;5.914;5.857;5.798;6.428;6.566;7.485;9.978;9.783;10.278;10.480;2.690;6.780
FRANCE;46.603354;1.8883335;18.151;18.077;19.886;18.315;21.131;27.107;30.960;29.973;29.642;31.941;29.636;48.069;21.287;39.484
FRENCH GUIANA;4.0039882;-52.999998;;;;;;;;;;;;;;
FRENCH POLYNESIA;-17.0243749;-144.6434898;65;..;..;..;..;..;..;89;83;48;48;47;12;..
GABON;-0.8999695;11.6899699;..;203;168;219;..;..;..;..;..;..;..;..;..;..
GAMBIA;13.470062;-15.4900464;..;..;..;..;..;307;..;..;..;..;..;..;..;..
GEORGIA;42.3154;43.3569;219;433;315;317;466;1.346;1.872;2.086;2.734;3.106;3.400;3.698;..;..
GERMANY;51.1638175;10.4478313;..;69.200;80.507;80.393;84.859;81.801;86.201;85.872;82.729;83.008;90.966;108.542;36.867;86.623
GHANA;8.0300284;-1.0800271;..;..;..;..;..;..;..;..;..;..;191;233;188;..
GREECE;38.9953683;21.9877132;..;..;..;..;..;..;3.765;3.799;4.681;5.802;7.235;7.961;2.324;5.094
GRENADA;12.1360374;-61.6904045;;;;;;;;;;;;;;
GUADELOUPE;16.2528827;-61.5686855;;;;;;;;;;;;;;
GUAM;13.45011745;144.7577087765826;;;;;;;;;;;;;;
GUATEMALA;15.5855545;-90.345759;333;391;488;629;854;1.055;1.277;694;721;992;1.195;1.538;508;1.411
GUINEA;-5.5226203;142.08711943819077;;;;;;;;;;;;;;
GUINEA-BISSAU;11.815215;-15.2351044;;;;;;;;;;;;;;
GUYANA;4.8417097;-58.6416891;;;;;;;;;;;;;;
HAITI;19.1399952;-72.3570972;;;;;;;;;;;;;;
HONDURAS;15.2572432;-86.0755145;162;202;274;279;295;295;387;408;464;557;664;501;..;..
HONG KONG;22.2793278;114.1628131;..;47.594;58.901;64.540;68.903;75.812;81.911;84.442;85.276;84.519;91.758;92.214;8.261;2.181
HUNGARY;47.1817585;19.5060937;12.064;12.317;11.065;12.966;17.558;16.597;17.162;16.082;16.143;16.340;18.895;22.805;12.727;18.013
ICELAND;64.9841821;-18.1059013;190;227;283;..;..;440;414;299;358;400;536;668;130;..
INDIA;22.3511148;78.6677428;3.464;3.811;4.416;4.940;6.213;8.340;10.868;12.988;14.920;18.330;21.872;26.296;7.295;21.600
INDONESIA;-2.4833826;117.8902853;..;..;2.205;3.231;3.941;4.967;5.486;6.235;7.454;8.074;8.340;9.468;2.918;3.541
IRAQ;33.0955793;44.1749775;;;;;;;;;;;;;;
IRELAND;52.865196;-7.9794599;2.733;3.330;3.783;4.634;5.409;6.848;7.877;6.917;6.600;6.676;7.646;8.643;2.326;..
ISRAEL;30.8124247;34.8594762;2.505;2.983;3.530;3.273;3.614;3.713;4.207;4.269;4.349;5.181;6.781;8.473;1.544;8.432
ITALY;42.6384261;12.674297;18.173;42.431;44.628;44.660;40.400;46.369;54.421;55.304;53.338;55.169;57.480;61.195;21.448;46.695
JAMAICA;18.1850507;-77.3947693;;;;;;;;;;;;;;
JAPAN;36.5748441;139.2394179;16.695;15.806;17.819;16.523;16.831;17.535;15.987;16.637;18.491;16.903;17.116;18.954;3.174;2.772
JORDAN;31.1667049;36.941628;1.141;1.347;1.625;1.276;1.420;2.139;2.288;3.086;1.780;1.407;1.745;1.501;406;1.399
KAZAKHSTAN;48.1012954;66.7780818;523;502;1.247;2.274;3.915;3.688;4.330;6.019;9.066;10.450;9.756;10.646;2.865;7.670
KENYA;1.4419683;38.4313975;;;;;;;;;;;;;;
KIRIBATI;0.3448612;173.6641773;4.649;3.067;5.508;7.123;8.826;11.610;11.996;12.488;13.737;16.081;22.383;28.696;4.276;6.554
KUWAIT;29.2733964;47.4979476;1.051;1.264;1.236;1.725;1.928;2.529;..;..;..;..;..;..;..;..
KYRGYZSTAN;41.5089324;74.724091;..;33;47;59;239;454;2.273;1.342;3.621;3.790;4.185;6.839;1.520;3.734
LAO PEOPLE´S DEMOCRATIC REPUBLIC;16.4990859;102.8330834;..;..;..;..;..;..;..;1.686;2.052;3.320;3.059;3.207;707;..
LATVIA;56.8406494;24.7537645;1.798;1.961;2.596;2.306;2.457;3.151;3.782;3.332;1.830;1.846;1.939;2.175;690;1.729
LEBANON;33.8750629;35.843409;;;;;;;;;;;;;;
LESOTHO;-29.6039267;28.3350193;;;;;;;;;;;;;;
LIBERIA;5.7499721;-9.3658524;;;;;;;;;;;;;;
LIBYA;33.9861083;19.165796548863145;493;..;..;..;..;..;..;..;..;..;..;..;..;..
LIECHTENSTEIN;47.1416307;9.5531527;;;;;;;;;;;;;;
LITHUANIA;55.3500003;23.7499997;2.864;3.241;3.632;3.584;..;4.362;3.847;4.311;4.108;4.292;4.143;4.702;1.643;3.999
LUXEMBOURG;49.6112768;6.129799;10.155;9.371;14.588;20.480;22.054;25.759;25.101;25.639;23.919;23.705;26.641;28.438;14.426;21.154
MADAGASCAR;-18.9249604;46.4416422;;;;;;;;;;;;;;
MALAWI;-13.2687204;33.9301963;;;;;;;;;;;;;;
MALAYSIA;4.5693754;102.2656823;23.333;25.631;30.532;29.866;30.761;..;..;..;..;..;..;..;..;..
MALDIVES;3.7203503;73.2244152;32;37;42;43;61;74;123;..;..;..;..;..;..;..
MALI;16.3700359;-2.2900239;;;;;;;;;;;;;;
MALTA;35.8885993;14.4476911;168;167;200;157;203;257;292;328;368;430;550;728;218;695
MARSHALL ISLANDS;8.230816999999998;167.7953223704529;;;;;;;;;;;;;;
MARTINIQUE;14.6367927;-61.01582685063731;;;;;;;;;;;;;;
MAURITANIA;20.2540382;-9.2399263;;;;;;;;;;;;;;
MAURITIUS;-20.2759451;57.5703566;120;143;163;162;180;186;226;212;237;223;260;296;65;229
MEXICO;23.6585116;-102.0077097;103.442;107.927;127.268;124.633;128.903;122.022;107.519;91.658;87.332;90.982;97.372;86.280;36.056;41.891
MONACO;43.7323492;7.4276832;;;;;;;;;;;;;;
MONGOLIA;46.8250388;103.8499736;;;;;;;;;;;;;;
MONTENEGRO;42.9868853;19.5180992;;;;;;;;;;;;;;
MONTSERRAT;16.7417041;-62.1916844;;;;;;;;;;;;;;
MOROCCO;31.1728205;-7.3362482;1.212;1.275;1.508;1.533;1.603;2.135;3.421;2.175;2.323;1.850;1.864;1.923;646;2.020
MOZAMBIQUE;-19.302233;34.9144977;;;;;;;;;;;;;;
MYANMAR;17.1750495;95.9999652;;;;;;;;;;;;;;
NAMIBIA;-23.2335499;17.3231107;;;;;;;;;;;;;;
NAURU;-0.5252306;166.9324426;;;;;;;;;;;;;;
NEPAL;28.3780464;83.9999901;119;122;155;238;286;415;561;765;862;..;..;..;..;..
NETHERLANDS;52.2434979;5.6343227;12.807;13.553;13.896;16.719;17.130;16.695;18.399;18.368;18.628;17.928;18.152;20.981;7.667;23.146
NEW CALEDONIA;-21.3019905;165.4880773;64;68;69;72;89;100;112;132;121;124;134;139;104;159
NEW ZEALAND;-41.5000831;172.8344077;1.093;1.166;1.283;1.293;1.733;1.861;1.967;2.026;2.172;2.276;2.611;3.038;511;1.629
NICARAGUA;12.6090157;-85.2936911;282;422;486;532;701;773;942;908;979;959;981;974;325;699
NIGER;17.7356214;9.3238432;10;10;..;..;..;..;..;..;..;..;..;..;..;..
NIGERIA;9.6000359;7.9999721;;;;;;;;;;;;;;
NIUE;-19.0536414;-169.861341;;;;;;;;;;;;;;
NORTH MACEDONIA;41.6171214;21.7168387;;;;;;;;;;;;;;
NORTHERN MARIANA ISLANDS;15.1753648;145.7379338;;;;;;;;;;;;;;
NORWAY;61.1529386;8.7876653;692;..;2.394;2.629;2.960;3.236;..;7.590;9.250;9.190;8.030;8.110;1.690;7.040
OMAN;21.0000287;57.0036901;..;..;..;..;..;2.664;3.100;2.829;3.972;4.727;5.902;5.975;1.657;5.188
PAKISTAN;30.3308401;71.247499;;;;;;;;;;;;;;
PALAU;5.3783537;132.9102573;..;9;..;..;..;..;..;..;..;..;..;..;..;..
PANAMA;8.559559;-81.1308434;188;211;216;200;256;284;369;392;447;853;1.051;1.020;401;851
PAPUA NEW GUINEA;-5.6816069;144.2489081;..;65;52;92;..;..;..;..;..;..;..;..;..;..
PARAGUAY;-23.3165935;-58.1693445;418;318;175;141;170;210;278;302;400;426;1.503;1.882;495;1.291
PERU;-6.8699697;-75.0458515;510;538;730;1.232;1.635;1.857;1.913;2.058;2.296;2.442;2.751;3.078;791;2.119
PHILIPPINES;12.7503486;122.7312101;2.121;1.817;1.670;1.969;1.920;2.745;3.355;..;..;3.488;5.703;..;..;..
POLAND;52.215933;19.134422;44.713;49.328;56.677;45.043;37.226;44.696;50.243;42.760;48.290;35.400;44.500;48.600;26.906;33.748
PORTUGAL;39.6621648;-8.1353519;..;..;..;..;17.141;18.378;..;..;1.361;1.502;1.941;2.486;680;2.657
PUERTO RICO;18.2247706;-66.4858295;1.184;1.250;1.259;1.227;1.361;1.468;1.438;980;876;793;789;731;688;1.086
QATAR;25.3336984;51.2295295;;;;;;;;;;;;;;
REUNION;-21.1309332;55.5265771;;;;;;;;;;;;;;
ROMANIA;45.9852129;24.6859225;5.748;6.893;6.388;5.757;6.972;8.906;13.072;10.905;11.149;12.299;16.128;21.039;9.510;17.265
RUSSIAN FEDERATION;64.6863136;97.7453061;12.260;10.635;18.371;20.428;24.507;29.107;36.538;39.323;47.813;45.889;31.659;41.964;12.361;..
RWANDA;-1.9646631;30.0644358;;;;;;;;;;;;;;
SABA;17.632196999999998;-63.23564245991936;;;;;;;;;;;;;;
SAINT KITTS AND NEVIS;17.250512;-62.6725973;;;;;;;;;;;;;;
SAINT LUCIA;13.8250489;-60.975036;;;;;;;;;;;;;;
SAINT VINCENT AND THE GRENADINES;12.90447;-61.2765569;;;;;;;;;;;;;;
SAMOA;-13.7693895;-172.12005;..;..;61;53;54;51;53;56;56;57;..;64;19;25
SAN MARINO;43.9458623;12.458306;;;;;;;;;;;;;;
SAO TOME AND PRINCIPE;0.9713095;7.02255;;;;;;;;;;;;;;
SAUDI ARABIA;25.6242618;42.3528328;..;..;..;7.896;4.234;2.336;4.705;18.625;20.084;22.323;27.618;27.425;6.657;24.264
SENEGAL;14.4750607;-14.4529612;;;;;;;;;;;;;;
SERBIA;44.024322850000004;21.07657433209902;;;;;;;;;;;;;;
SERBIA AND MONTENEGRO;43.5284295;19.2256624;;;;;;;;;;;;;;
SEYCHELLES;-4.6574977;55.4540146;29;31;36;53;48;55;54;59;45;50;68;72;19;51
SIERRA LEONE;8.6400349;-11.8400269;..;7;13;27;28;67;73;76;104;93;92;112;38;..
SINGAPORE;1.357107;103.8194992;3.305;3.745;4.444;4.399;5.165;5.533;6.828;7.342;8.048;8.903;9.474;10.378;1.543;5.154
SINT EUSTATIUS;17.5085293;-62.995476910131686;;;;;;;;;;;;;;
SINT MAARTEN (DUTCH PART);18.013293949999998;-63.042276315015975;;;;;;;;;;;;;;
SLOVAKIA;48.7411522;19.4528646;..;..;..;..;..;3.149;3.683;2.692;2.689;2.406;3.095;4.662;1.044;..
SLOVENIA;46.1199444;14.8153333;..;..;1.965;2.127;2.800;6.814;5.490;5.340;4.465;4.672;5.408;5.409;1.892;4.727
SOLOMON ISLANDS;-8.7053941;159.1070693851845;;;;;;;;;;;;;;
SOMALIA;8.3676771;49.083416;;;;;;;;;;;;;;
SOUTH AFRICA;-28.8166236;24.991639;;;;;;;;;;;;;;
SOUTH SUDAN;7.8699431;29.6667897;;;;;;;;;;;;;;
SPAIN;39.3260685;-4.8379791;4.224;4.794;4.100;3.871;5.121;10.678;13.042;14.254;14.916;13.952;18.277;22.287;6.236;18.253
SRI LANKA;7.5554942;80.7137847;494;518;524;533;680;757;966;1.122;1.269;1.311;1.448;1.476;305;1.128
STATE OF PALESTINE;12.6609871;-7.967801138076412;;;;;;;;;;;;;;
SUDAN;7.8699431;29.6667897;;;;;;;;;;;;;;
SURINAME;4.1413025;-56.0771187;;;;;;;;;;;;;;
SWEDEN;59.6749712;14.5208584;10.390;11.422;10.147;12.888;13.950;12.559;13.291;13.042;15.548;..;..;19.939;6.081;..
SWITZERLAND;46.8182;8.2275;12.061;11.891;12.240;11.427;..;..;17.407;15.902;20.293;19.833;21.536;24.572;7.694;15.846
SYRIAN ARAB REPUBLIC;34.8021;38.9968;1.871;2.411;3.863;3.299;4.309;4.042;5.253;6.259;..;..;..;..;..;..
TAIWAN PROVINCE OF CHINA;24.93836745;118.58541419241348;5.714;5.912;7.329;7.319;7.781;8.671;8.465;9.415;10.240;11.845;14.589;16.645;2.336;1.483
TAJIKISTAN;38.6281733;70.8156541;148;..;..;..;..;..;..;..;..;..;..;..;..;..
THAILAND;9.8762687;102.06908954680432;1.845;1.412;1.909;2.250;2.709;3.382;3.908;5.451;5.721;6.444;8.204;9.966;1.706;..
TIMOR-LESTE;-8.7443169;126.063482;;;;;;;;;;;;;;
TOGO;8.7800265;1.0199765;..;..;..;..;..;..;..;..;..;..;191;236;..;..
TONGA;-19.9160819;-175.202642;;;;;;;;;;;;;;
TRINIDAD AND TOBAGO;10.7466905;-61.0840075;248;..;..;..;..;..;..;273;..;..;..;..;..;..
TUNISIA;33.8439408;9.400138;1.428;1.526;1.632;1.939;2.312;2.302;3.118;2.250;2.897;2.637;1.830;2.515;739;3.314
TÜRKIYE;38.9597594;34.9249653;4.261;4.601;5.284;5.131;7.299;8.275;4.893;6.557;5.803;7.982;7.892;8.383;2.243;7.267
TURKMENISTAN;39.3763807;59.3924609;29;357;78;79;32;33;..;..;..;..;..;..;..;..
TURKS AND CAICOS ISLANDS;21.721746;-71.5527809;;;;;;;;;;;;;;
TUVALU;-8.6405212;179.1582918181797;;;;;;;;;;;;;;
UGANDA;1.5333554;32.2166578;..;241;153;184;231;254;337;324;469;511;568;..;197;397
UKRAINE;49.4871968;31.2718321;6.004;7.773;13.422;14.729;15.588;16.875;16.100;17.741;21.755;22.637;25.226;27.977;11.251;15.539
UNITED ARAB EMIRATES;24.0002488;53.9994829;..;..;..;..;..;..;..;..;..;..;18.728;18.967;6.458;..
UNITED KINGDOM;54.7023545;-3.2765753;42.050;50.872;56.837;59.377;64.194;69.536;69.011;64.647;66.858;72.204;81.757;90.571;23.827;70.950
UNITED STATES OF AMERICA;39.7837304;-100.445882;76.803;82.758;87.973;80.883;79.655;148.511;136.148;121.574;116.329;121.699;141.526;158.445;60.550;..
UNITED STATES VIRGIN ISLANDS;17.789187;-64.7080574;;;;;;;;;;;;;;
URUGUAY;-32.8755548;-56.0201525;..;654;667;530;569;666;734;1.027;1.816;2.396;1.715;1.947;..;..
UZBEKISTAN;41.32373;63.9528098;..;247;217;264;455;893;1.150;1.610;..;2.786;3.848;8.594;..;..
VANUATU;-16.5255069;168.1069154;511;752;954;881;816;1.095;1.745;1.477;1.734;1.589;1.530;..;..;..
VIET NAM;15.9266657;107.9650855;;;;;;;;;;;;;;
YEMEN;16.3471243;47.8915271;;;;;;;;;;;;;;
ZAMBIA;-14.5189121;27.5589884;;;;;;;;;;;;;;
ZIMBABWE;-18.4554963;29.7468414;69;213;..;..;498;541;593;650;720;3.182;3.192;2.288;993;1.610
